time	V(sw)
4.850079624904078e-005	3.331437e-002
4.851793910618353e-005	3.378006e-002
4.854365339189767e-005	3.447853e-002
4.856936767761180e-005	3.517693e-002
4.859508196332594e-005	3.587526e-002
4.862079624904006e-005	3.657352e-002
4.864651053475420e-005	3.727172e-002
4.867222482046833e-005	3.796985e-002
4.869793910618247e-005	3.866791e-002
4.876079624903923e-005	4.037399e-002
4.882365339189601e-005	4.207965e-002
4.888651053475277e-005	4.378490e-002
4.894936767760955e-005	4.548973e-002
4.901222482046631e-005	4.719415e-002
4.907508196332309e-005	4.889816e-002
4.913793910617985e-005	5.060175e-002
4.977793910617605e-005	6.792380e-002
4.978293910617602e-005	6.805896e-002
4.978793910617599e-005	6.819412e-002
4.979293910617596e-005	6.832927e-002
4.979793910617593e-005	6.846442e-002
4.980293910617590e-005	6.859957e-002
4.980793910617587e-005	6.873472e-002
4.981293910617584e-005	6.886985e-002
4.981526545198844e-005	6.893275e-002
4.981661360565267e-005	6.896918e-002
4.981792265544203e-005	6.900457e-002
4.981901305403246e-005	6.903403e-002
4.982017335383227e-005	6.906538e-002
4.982245265176084e-005	6.912699e-002
4.982526014751451e-005	6.920286e-002
4.983014357951032e-005	6.933485e-002
4.983514357951029e-005	6.946999e-002
4.983724886876572e-005	6.952683e-002
4.983776002320806e-005	6.954075e-002
4.983799191715763e-005	6.954695e-002
4.983821319691170e-005	6.955287e-002
4.983865575642005e-005	6.956489e-002
4.983909991783712e-005	6.957687e-002
4.983980196203615e-005	6.959587e-002
4.984072806484756e-005	6.962089e-002
4.984195888066835e-005	6.965416e-002
4.984373414676719e-005	6.970213e-002
4.984622165747740e-005	6.976936e-002
4.985033548255639e-005	6.988053e-002
4.985533548255636e-005	7.001566e-002
4.986033548255633e-005	7.015079e-002
4.986533548255630e-005	7.028593e-002
4.987033548255627e-005	7.042108e-002
4.987533548255624e-005	7.055622e-002
4.988033548255621e-005	7.069135e-002
4.988533548255618e-005	7.082649e-002
4.989033548255615e-005	7.096164e-002
4.989533548255612e-005	7.109680e-002
4.990033548255609e-005	7.123198e-002
4.990533548255606e-005	7.136720e-002
4.991033548255603e-005	7.150246e-002
4.991533548255600e-005	7.163778e-002
4.992033548255597e-005	7.177319e-002
4.992533548255594e-005	7.190870e-002
4.993033548255591e-005	7.204435e-002
4.993533548255588e-005	7.218020e-002
4.994033548255585e-005	7.231629e-002
4.994533548255582e-005	7.245271e-002
4.995033548255579e-005	7.258954e-002
4.995533548255576e-005	7.272691e-002
4.996033548255573e-005	7.286498e-002
4.996533548255570e-005	7.300397e-002
4.997033548255567e-005	7.314415e-002
4.997533548255564e-005	7.328591e-002
4.998033548255561e-005	7.342982e-002
4.998533548255559e-005	7.357665e-002
4.999033548255556e-005	7.372759e-002
4.999533548255553e-005	7.388263e-002
4.999633548255543e-005	7.391442e-002
4.999800000000010e-005	7.396832e-002
4.999900000000001e-005	7.400116e-002
4.999999999999991e-005	7.403152e-002
5.000009999999995e-005	7.403675e-002
5.000030000000002e-005	7.404446e-002
5.000059999999990e-005	7.405459e-002
5.000099999999982e-005	7.406822e-002
5.000103999999988e-005	7.406953e-002
5.000111999999978e-005	7.407223e-002
5.000127999999979e-005	7.407769e-002
5.000159999999981e-005	7.408867e-002
5.000351999999929e-005	7.415623e-002
5.000607999999882e-005	7.425232e-002
5.001107999999879e-005	7.446188e-002
5.001607999999876e-005	7.471695e-002
5.002107999999873e-005	7.505538e-002
5.002607999999870e-005	7.553291e-002
5.003107999999867e-005	7.624381e-002
5.003607999999864e-005	7.722138e-002
5.003840634581125e-005	7.779890e-002
5.004060977719760e-005	7.849053e-002
5.004247763223469e-005	7.923855e-002
5.004445073758393e-005	8.033332e-002
5.004839694828242e-005	8.366817e-002
5.005263392502952e-005	8.963601e-002
5.005620454651767e-005	9.853896e-002
5.005920851627985e-005	1.117893e-001
5.006165798723491e-005	1.306737e-001
5.006363643532711e-005	1.570937e-001
5.006521277067474e-005	1.931939e-001
5.006646398410795e-005	2.413707e-001
5.006743485056592e-005	3.010946e-001
5.006810263540897e-005	3.616232e-001
5.006851840888712e-005	4.122927e-001
5.006882243020761e-005	4.577892e-001
5.006909126643215e-005	5.034463e-001
5.006941371696718e-005	5.615718e-001
5.006971842424460e-005	6.179256e-001
5.007029799981464e-005	7.297341e-001
5.007113610896292e-005	9.028729e-001
5.007190386122204e-005	1.074997e+000
5.007307233550183e-005	1.357625e+000
5.007456089465537e-005	1.744332e+000
5.007705816619857e-005	2.452484e+000
5.008081803854650e-005	3.652478e+000
5.008369898822952e-005	4.744011e+000
5.008616873250884e-005	5.854316e+000
5.008876392692042e-005	7.153724e+000
5.009141112854651e-005	8.561164e+000
5.009456894165777e-005	1.030499e+001
5.009866323653855e-005	1.261800e+001
5.010314716768181e-005	1.518483e+001
5.010814716768178e-005	1.806706e+001
5.011314716768175e-005	2.094463e+001
5.011466460560902e-005	2.178899e+001
5.011557716920164e-005	2.225878e+001
5.011627937288117e-005	2.258626e+001
5.011709501368477e-005	2.292561e+001
5.011853896786625e-005	2.343740e+001
5.012105630124511e-005	2.414958e+001
5.012367753585946e-005	2.466763e+001
5.012867753585943e-005	2.526969e+001
5.013245827888819e-005	2.551715e+001
5.013675958158762e-005	2.563161e+001
5.014120676043263e-005	2.566442e+001
5.014471639764825e-005	2.565294e+001
5.014796376925446e-005	2.562449e+001
5.014946961185850e-005	2.560602e+001
5.015093081299927e-005	2.558422e+001
5.015224232081546e-005	2.556225e+001
5.015349039846407e-005	2.553890e+001
5.015598655376107e-005	2.548769e+001
5.015839665144608e-005	2.543447e+001
5.016166692888035e-005	2.535807e+001
5.016666692888032e-005	2.523816e+001
5.017166692888029e-005	2.511821e+001
5.017666692888026e-005	2.500072e+001
5.018166692888023e-005	2.488721e+001
5.018666692888020e-005	2.477830e+001
5.019166692888017e-005	2.467419e+001
5.019666692888014e-005	2.457484e+001
5.020166692888011e-005	2.448012e+001
5.020666692888008e-005	2.438983e+001
5.021166692888005e-005	2.430377e+001
5.021666692888002e-005	2.422172e+001
5.022166692887999e-005	2.414345e+001
5.022666692887996e-005	2.406872e+001
5.023166692887993e-005	2.399726e+001
5.023666692887991e-005	2.392874e+001
5.024166692887988e-005	2.386269e+001
5.024666692887985e-005	2.379832e+001
5.025166692887982e-005	2.373406e+001
5.025666692887979e-005	2.366750e+001
5.026166692887976e-005	2.359947e+001
5.026474821844353e-005	2.356053e+001
5.026635686653912e-005	2.354329e+001
5.026846208470949e-005	2.352372e+001
5.027075372347864e-005	2.350412e+001
5.027412622544015e-005	2.347706e+001
5.027768264372502e-005	2.344990e+001
5.028268264372499e-005	2.341336e+001
5.028768264372496e-005	2.337834e+001
5.029268264372493e-005	2.334479e+001
5.029768264372490e-005	2.331264e+001
5.030268264372487e-005	2.328181e+001
5.030768264372484e-005	2.325225e+001
5.031268264372481e-005	2.322391e+001
5.031768264372478e-005	2.319673e+001
5.032268264372475e-005	2.317066e+001
5.032768264372472e-005	2.314566e+001
5.033268264372469e-005	2.312169e+001
5.033768264372466e-005	2.309870e+001
5.034268264372463e-005	2.307665e+001
5.034768264372460e-005	2.305551e+001
5.035268264372457e-005	2.303523e+001
5.035768264372454e-005	2.301579e+001
